Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1990","1990","°C","0.356","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1991","1991","°C","0.567","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1992","1992","°C","-0.001","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1993","1993","°C","-0.05","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1994","1994","°C","0.58","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1995","1995","°C","0.472","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1996","1996","°C","0.698","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1997","1997","°C","0.214","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1998","1998","°C","1.611","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","1999","1999","°C","0.771","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2000","2000","°C","0.232","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2001","2001","°C","0.695","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2002","2002","°C","0.456","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2003","2003","°C","0.911","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2004","2004","°C","0.305","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2005","2005","°C","0.924","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2006","2006","°C","1.024","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2007","2007","°C","0.749","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2008","2008","°C","0.423","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2009","2009","°C","0.652","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2010","2010","°C","1.523","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2011","2011","°C","0.57","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2012","2012","°C","0.548","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2013","2013","°C","0.829","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2014","2014","°C","0.817","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2015","2015","°C","0.967","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2016","2016","°C","1.751","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2017","2017","°C","1.007","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2018","2018","°C","0.585","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2019","2019","°C","1.238","Fc","Calculated data"
"ET","Temperature change","21","Brazil","7271","Temperature change","7002","February","2020","2020","°C","1.054","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1961","1961","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1962","1962","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1963","1963","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1964","1964","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1965","1965","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1966","1966","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1967","1967","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1968","1968","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1969","1969","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1970","1970","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1971","1971","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1972","1972","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1973","1973","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1974","1974","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1975","1975","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1976","1976","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1977","1977","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1978","1978","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1979","1979","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1980","1980","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1981","1981","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1982","1982","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1983","1983","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1984","1984","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1985","1985","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1986","1986","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1987","1987","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1988","1988","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1989","1989","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1990","1990","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1991","1991","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1992","1992","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1993","1993","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1994","1994","°C","0.324","Fc","Calculated data"
"ET","Temperature change","21","Brazil","6078","Standard Deviation","7002","February","1995","1995","°C","0.324","Fc","Calculated data"
